rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,660271,Shohei Ohtani,LAD,PIT,2026-08-23T20:10:00Z,Scheduled,1,Lake Bachar,669199,R,65.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",81.2,46.1,27.6,88.7,80.0,79.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 11.4 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.67,54.43,93.92,104.5411,0.5979,0.3099,0.4131,75.03,53.36,46.7,32.13,37.5,0.284,9.72,37.09,89.46,0.3899,0.1794,32.06,,,UNIQLO Field at Dodger Stadium,
2,656941,Kyle Schwarber,PHI,STL,2026-08-23T17:35:00Z,Scheduled,1,Kyle Leahy,681517,R,64.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.1,52.7,34.3,88.7,80.0,26.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,1,"Last 7 games: 5/29, 1 HR","platoon edge; pitcher baseline 10.1% barrel, 9.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.49,53.72,93.25,104.3375,0.5222,0.2812,0.3772,77.16,75.14,55.05,33.95,43.4,0.2957,10.08,47.11,90.71,0.4415,0.1705,22.26,,,Citizens Bank Park,
3,695491,Joshua Baez,STL,PHI,2026-08-23T17:35:00Z,Scheduled,5,Cristopher Sánchez,650911,L,63.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",96.0,31.5,34.3,81.9,78.0,18.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,1,"Last 7 games: 2/23, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 12.7 HR allowed",EV profile; pitcher fly-ball pressure modest,23.8,61.9,97.0,104.2709,0.598,0.361,0.376,78.2,79.4,28.6,47.6,4.0,0.375,6.75,41.2,89.21,0.3548,0.1207,16.62,,,Citizens Bank Park,
4,666176,Jo Adell,CLE,COL,2026-08-23T19:10:00Z,Scheduled,4,Tomoyuki Sugano,608372,R,62.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Hot Hitter/Streak",55.6,73.7,38.7,90.4,50.0,74.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.0% barrel, 28.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.33,46.78,90.72,103.0715,0.486,0.226,0.3426,77.32,71.48,38.35,27.98,25.1,0.1937,12.99,42.6,90.63,0.5562,0.2518,30.49,,,Coors Field,
5,808959,Munetaka Murakami,CWS,NYM,2026-08-23T18:10:00Z,Scheduled,2,Nolan McLean,690997,R,60.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.1,30.3,27.6,95.5,80.0,36.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 11.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.3,58.9,94.0,104.6566,0.507,0.288,0.367,74.8,50.9,42.1,38.6,29.0,0.296,7.23,38.01,88.24,0.3507,0.1285,21.98,,,Rate Field,
6,624413,Pete Alonso,BAL,TB,2026-08-23T17:35:00Z,Scheduled,2,Nick Martinez,607259,R,60.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",72.7,36.3,32.1,95.5,50.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 18.5 HR allowed",EV profile; pitcher fly-ball pressure modest,15.47,55.73,93.85,104.2862,0.5559,0.2738,0.3916,74.78,48.93,35.94,30.74,32.4,0.2373,7.21,33.45,87.46,0.4303,0.1579,28.47,,,Oriole Park at Camden Yards,
7,682987,Spencer Jones,NYY,TOR,2026-08-23T17:35:00Z,Scheduled,5,José Soriano,667755,R,59.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",68.9,37.7,38.2,81.9,80.0,60.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 12.7 HR allowed",EV profile; pitcher fly-ball pressure modest,15.1,57.6,94.4,103.8939,0.438,0.216,0.32,77.5,76.6,30.1,37.6,7.0,0.193,7.76,41.55,89.65,0.3866,0.1397,18.54,,,Yankee Stadium,
8,700250,Ben Rice,NYY,TOR,2026-08-23T17:35:00Z,Scheduled,2,José Soriano,667755,R,58.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",64.5,37.7,38.2,95.5,80.0,41.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 12.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.05,50.85,92.53,102.5762,0.5187,0.2527,0.377,72.91,28.08,46.08,30.46,31.6,0.2678,7.76,41.55,89.65,0.3866,0.1397,18.54,,,Yankee Stadium,
9,641343,Jake Bauers,MIL,ATL,2026-08-23T23:10:00Z,Scheduled,3,Tyler Mahle,641816,R,57.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.5,40.1,27.6,92.1,80.0,70.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 12.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.05,50.85,92.26,103.1278,0.4752,0.2237,0.3666,76.57,70.0,40.13,30.61,18.2,0.2123,7.65,37.59,89.55,0.4074,0.1579,28.59,,,Journey Bank Ballpark,
10,547180,Bryce Harper,PHI,STL,2026-08-23T17:35:00Z,Scheduled,3,Kyle Leahy,681517,R,57.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",51.9,52.7,34.3,92.1,80.0,48.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,1,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.39,45.4,90.53,101.8882,0.4955,0.2261,0.3827,74.17,45.29,37.98,27.8,26.3,0.2323,10.08,47.11,90.71,0.4415,0.1705,22.26,,,Citizens Bank Park,
